Common Name,Symbol,Scientific Name,Family Symbol,Family Common Name,Active Growth Period,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Texture,Fruit Color,Fruit Conspicuous,Leaf Retention,Shape and Orientation,Bloom Period,Commercial Availability
Pacific silver fir,ABAM,Abies amabilis,PINACE,Pine family,Spring and Summer,Yes,Yellow,No,Gray-Green,Medium,Brown,No,Yes,Erect,Late Spring,Routinely Available
balsam fir,ABBA,Abies balsamea,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Mid Summer,Routinely Available
white fir,ABCO,Abies concolor,PINACE,Pine family,Spring and Summer,No,Red,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
Fraser fir,ABFR,Abies fraseri,PINACE,Pine family,Spring and Summer,No,Purple,No,Dark Green,Medium,Brown,Yes,Yes,Erect,Mid Spring,Routinely Available
grand fir,ABGR,Abies grandis,PINACE,Pine family,Spring and Summer,No,No Flower,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Field Collections Only
subalpine fir,ABLA,Abies lasiocarpa,PINACE,Pine family,Spring and Summer,No,No Flower,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
California red fir,ABMA,Abies magnifica,PINACE,Pine family,Spring and Summer,No,Brown,No,Dark Green,Medium,Brown,Yes,Yes,Erect,Late Spring,Contracting Only
noble fir,ABPR,Abies procera,PINACE,Pine family,Spring and Summer,No,No Flower,No,Dark Green,Medium,Purple,Yes,Yes,Erect,Late Spring,Contracting Only
koa,ACKO,Acacia koa,FABACE,Pea family,Year Round,No,Yellow,No,Green,Medium,Brown,No,Yes,Erect,Spring,Routinely Available
Sydney golden wattle,ACLO,Acacia longifolia,FABACE,Pea family,Spring and Summer,No,Yellow,Yes,Green,Fine,Brown,Yes,Yes,Semi-Erect,Summer,Routinely Available
blackwood,ACME,Acacia melanoxylon,FABACE,Pea family,Spring and Summer,No,White,Yes,Dark Green,Fine,Brown,Yes,Yes,Erect,Early Spring,No Known Source
vine maple,ACCI,Acer circinatum,ACERAC,Maple family,Spring and Summer,Yes,Green,Yes,Green,Medium,Brown,No,No,Erect,Spring,No Known Source
Amur maple,ACGI,Acer ginnala,ACERAC,Maple family,Spring and Summer,Yes,White,No,Green,Medium,Brown,Yes,No,Rounded,Mid Spring,Routinely Available
Rocky Mountain maple,ACGL,Acer glabrum,ACERAC,Maple family,Spring and Summer,Yes,Green,No,Green,Coarse,Brown,No,No,Erect,Late Spring,Routinely Available
Douglas maple,ACGLD4,Acer glabrum var. douglasii,ACERAC,Maple family,Spring and Summer,Yes,Green,No,Green,Coarse,Brown,No,No,Erect,Late Spring,Contracting Only
